INFO  | 04/10/2020 10:36:42 AM | File run_exp.py           | Line 26    | Writing log file to exp/GRAN\GRANMixtureBernoulli_transport_2020-Apr-10-10-36-42_22448\log_exp_22448.txt
INFO  | 04/10/2020 10:36:42 AM | File run_exp.py           | Line 27    | Exp instance id = 22448
INFO  | 04/10/2020 10:36:42 AM | File run_exp.py           | Line 28    | Exp comment = None
INFO  | 04/10/2020 10:36:42 AM | File run_exp.py           | Line 29    | Config =
INFO  | 04/10/2020 10:36:42 AM | File gran_runner.py       | Line 137   | Train/val/test = 8/2/2
INFO  | 04/10/2020 10:36:42 AM | File gran_runner.py       | Line 150   | No Edges vs. Edges in training set = 2.0
INFO  | 04/10/2020 10:36:45 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0001 iteration 00000001 = 11.666511535644531
INFO  | 04/10/2020 10:36:46 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0002 iteration 00000010 = 10.768242835998535
INFO  | 04/10/2020 10:36:47 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0003 iteration 00000020 = 8.652278900146484
INFO  | 04/10/2020 10:36:49 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0004 iteration 00000030 = 8.070405960083008
INFO  | 04/10/2020 10:36:50 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0005 iteration 00000040 = 8.177055358886719
INFO  | 04/10/2020 10:36:51 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0007 iteration 00000050 = 8.083599090576172
INFO  | 04/10/2020 10:36:53 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0008 iteration 00000060 = 8.030441284179688
INFO  | 04/10/2020 10:36:54 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0009 iteration 00000070 = 7.971705913543701
INFO  | 04/10/2020 10:36:55 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0010 iteration 00000080 = 7.961564064025879
INFO  | 04/10/2020 10:36:55 AM | File gran_runner.py       | Line 284   | Saving Snapshot @ epoch 0010
INFO  | 04/10/2020 10:36:57 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0012 iteration 00000090 = 7.942015171051025
INFO  | 04/10/2020 10:36:58 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0013 iteration 00000100 = 7.943674087524414
INFO  | 04/10/2020 10:37:00 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0014 iteration 00000110 = 7.941843032836914
INFO  | 04/10/2020 10:37:01 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0015 iteration 00000120 = 7.941133499145508
INFO  | 04/10/2020 10:37:02 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0017 iteration 00000130 = 7.940905570983887
INFO  | 04/10/2020 10:37:04 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0018 iteration 00000140 = 7.940776824951172
INFO  | 04/10/2020 10:37:05 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0019 iteration 00000150 = 7.9407572746276855
INFO  | 04/10/2020 10:37:06 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0020 iteration 00000160 = 7.940758228302002
INFO  | 04/10/2020 10:37:06 AM | File gran_runner.py       | Line 284   | Saving Snapshot @ epoch 0020
INFO  | 04/10/2020 10:37:08 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0022 iteration 00000170 = 7.9407548904418945
INFO  | 04/10/2020 10:37:09 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0023 iteration 00000180 = 7.940752983093262
INFO  | 04/10/2020 10:37:11 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0024 iteration 00000190 = 7.940752983093262
INFO  | 04/10/2020 10:37:12 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0025 iteration 00000200 = 7.940752983093262
INFO  | 04/10/2020 10:37:13 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0027 iteration 00000210 = 7.940752983093262
INFO  | 04/10/2020 10:37:15 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0028 iteration 00000220 = 7.940752983093262
INFO  | 04/10/2020 10:37:16 AM | File gran_runner.py       | Line 280   | NLL Loss @ epoch 0029 iteration 00000230 = 7.940752983093262
